package	pn_exit	em_exit	category
dev-debug/apitrace	FAIL(3)	FAIL(1)	fail/fail
dev-db/zedis	FAIL(3)	FAIL(1)	fail/fail
dev-debug/ddd	FAIL(3)	FAIL(1)	fail/fail
dev-debug/hotspot	FAIL(3)	FAIL(1)	fail/fail
dev-debug/scap-driver	FAIL(3)	FAIL(1)	fail/fail
dev-debug/sysdig	FAIL(3)	FAIL(1)	fail/fail
dev-dotnet/netcoredbg	FAIL(3)	OK	fail/ok
dev-embedded/avr-libc	FAIL(3)	FAIL(1)	fail/fail
dev-embedded/cpik	FAIL(3)	FAIL(1)	fail/fail
dev-embedded/jal	FAIL(3)	FAIL(1)	fail/fail
dev-embedded/picp	FAIL(3)	FAIL(1)	fail/fail
dev-erlang/p1_acme	FAIL(3)	OK	fail/ok
dev-games/tiled	FAIL(3)	FAIL(1)	fail/fail
dev-debug/dtrace	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/adjunctions	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/aeson	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/aeson-pretty	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/cairo	FAIL(3)	FAIL(1)	fail/fail
dev-dotnet/dotnet-sdk	FAIL(124)	FAIL(124)	fail/fail
dev-haskell/connection	FAIL(3)	OK	fail/ok
dev-haskell/aws	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/citeproc	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/criterion	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/cryptonite-conduit	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/doctemplates	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/dbus	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/free	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/feed	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/glib	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/gtk2hs-buildtools	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/hashtables	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/fdo-notify	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/dav	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/git-lfs	FAIL(3)	FAIL(1)	fail/fail
dev-games/aseprite	FAIL(124)	FAIL(1)	fail/fail
dev-haskell/hslua-aeson	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/hslua	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/html-conduit	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/invariant	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/kan-extensions	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/ipynb	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/lens	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/hspec-wai	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/http-conduit	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/microstache	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/monad-logger	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/pango	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/pandoc-types	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/pandoc-lua-marshal	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/reducers	FAIL(3)	OK	fail/ok
dev-haskell/quickcheck-classes	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/persistent	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/persistent-sqlite	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/persistent-test	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/pandoc	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/semialign	FAIL(3)	OK	fail/ok
dev-haskell/pandoc-server	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/servant	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/shakespeare	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/skylighting-core	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/skylighting	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/skylighting-format-ansi	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/skylighting-format-blaze-html	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/skylighting-format-context	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/skylighting-format-latex	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/statistics	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/servant-server	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/tasty-hedgehog	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/tasty-smallcheck	FAIL(3)	OK	fail/ok
dev-haskell/test-framework-leancheck	FAIL(3)	OK	fail/ok
dev-haskell/texmath	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/tree-diff	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/trifecta	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/typst	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/wai-extra	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/wai-app-static	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/xml-hamlet	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/yaml	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/wai-websockets	FAIL(3)	FAIL(1)	fail/fail
dev-java/aopalliance	FAIL(3)	OK	fail/ok
dev-java/antunit	FAIL(3)	OK	fail/ok
dev-haskell/yesod-core	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/yesod-persistent	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/yesod-test	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/yesod-static	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/yesod-form	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/yesod	FAIL(3)	FAIL(1)	fail/fail
dev-java/ant-contrib	FAIL(3)	OK	fail/ok
dev-java/fastdoubleparser	FAIL(3)	OK	fail/ok
dev-java/openjdk	FAIL(3)	FAIL(1)	fail/fail
dev-java/sbt	FAIL(3)	FAIL(1)	fail/fail
dev-java/openjfx	FAIL(3)	FAIL(1)	fail/fail
dev-lang/cxprolog	FAIL(3)	FAIL(1)	fail/fail
dev-lang/clojure-clr	FAIL(3)	OK	fail/ok
dev-lang/boogie	FAIL(3)	OK	fail/ok
dev-lang/gforth	FAIL(3)	FAIL(1)	fail/fail
dev-lang/haxe	FAIL(3)	FAIL(1)	fail/fail
dev-lang/elpi	FAIL(3)	FAIL(1)	fail/fail
dev-lang/dafny	FAIL(3)	OK	fail/ok
dev-lang/jint	FAIL(3)	OK	fail/ok
dev-lang/mond	FAIL(3)	OK	fail/ok
dev-lang/mmix	FAIL(3)	FAIL(1)	fail/fail
dev-lang/perl	FAIL(3)	OK	fail/ok
dev-lang/pico8	FAIL(3)	FAIL(1)	fail/fail
dev-lang/elixir	FAIL(3)	OK	fail/ok
dev-lang/snobol	FAIL(3)	FAIL(1)	fail/fail
dev-lang/teyjus	FAIL(3)	FAIL(1)	fail/fail
dev-lang/spidermonkey	FAIL(3)	FAIL(1)	fail/fail
dev-libs/amdgpu-pro-opencl	FAIL(3)	FAIL(1)	fail/fail
dev-lang/mono-basic	FAIL(3)	FAIL(1)	fail/fail
dev-libs/clog	FAIL(3)	OK	fail/ok
dev-libs/cl	FAIL(3)	FAIL(1)	fail/fail
dev-libs/castxml	FAIL(3)	OK	fail/ok
dev-libs/ayatana-ido	FAIL(3)	FAIL(1)	fail/fail
dev-libs/ferrisloki	FAIL(3)	FAIL(1)	fail/fail
dev-libs/gjs	FAIL(3)	FAIL(1)	fail/fail
dev-lang/pypy	FAIL(124)	FAIL(124)	fail/fail
dev-lang/pypy3-exe	FAIL(124)	FAIL(124)	fail/fail
dev-libs/hiprt	FAIL(3)	FAIL(1)	fail/fail
dev-libs/kirigami-addons	FAIL(3)	FAIL(1)	fail/fail
dev-libs/kopeninghours	FAIL(3)	FAIL(1)	fail/fail
dev-libs/kosmindoormap	FAIL(3)	FAIL(1)	fail/fail
dev-libs/ktextaddons	FAIL(3)	FAIL(1)	fail/fail
dev-libs/kpublictransport	FAIL(3)	FAIL(1)	fail/fail
dev-lang/spark	FAIL(124)	FAIL(1)	fail/fail
dev-libs/input-pad	FAIL(3)	FAIL(1)	fail/fail
dev-lang/zig	FAIL(124)	FAIL(124)	fail/fail
dev-libs/libelf	FAIL(3)	FAIL(1)	fail/fail
dev-libs/libiconv	FAIL(3)	FAIL(1)	fail/fail
dev-libs/libintl	FAIL(3)	FAIL(1)	fail/fail
dev-libs/libratbag	FAIL(3)	FAIL(1)	fail/fail
dev-libs/libopenrazer	FAIL(3)	FAIL(1)	fail/fail
dev-libs/opencryptoki	FAIL(3)	FAIL(1)	fail/fail
dev-libs/papi	FAIL(3)	FAIL(1)	fail/fail
dev-libs/rccl	FAIL(3)	FAIL(1)	fail/fail
dev-libs/template-glib	FAIL(3)	FAIL(1)	fail/fail
dev-libs/tvision	FAIL(3)	FAIL(1)	fail/fail
dev-lisp/roswell	FAIL(3)	FAIL(1)	fail/fail
dev-lisp/cmucl	FAIL(3)	FAIL(1)	fail/fail
dev-lua/lanes	FAIL(3)	FAIL(1)	fail/fail
dev-lisp/ecl	FAIL(3)	OK	fail/ok
dev-ml/ANSITerminal	FAIL(3)	FAIL(1)	fail/fail
dev-ml/angstrom	FAIL(3)	FAIL(1)	fail/fail
dev-ml/alcotest	FAIL(3)	FAIL(1)	fail/fail
dev-ml/0install	FAIL(3)	FAIL(1)	fail/fail
dev-lisp/gcl	FAIL(3)	FAIL(1)	fail/fail
dev-ml/bin_prot	FAIL(3)	OK	fail/ok
